"","year","mean.cnt","sd.cnt","n.records","mean.LOTI","sd.LOTI","n.LOTI"
"79",1958,13.7424657534247,3.3462262576062,365,5.5,16.4233758018037,12
"80",1959,12.3671232876712,3.29702058285498,365,4,11.4494938355767,12
"81",1960,8.90437158469945,3.19745318406483,366,-2.25,20.0187412191676,12
"82",1961,4.43016759776536,2.07273496229816,358,8.08333333333333,9.74640570889722,12
"83",1962,2.94269340974212,1.49986002047513,349,1.5,8.55463723262525,12
"84",1963,2.44477611940298,1.30030898931426,335,0.916666666666667,14.884148574503,12
"85",1964,1.51750972762646,0.696450841279602,257,-25.6666666666667,11.2195716441755,12
"86",1965,1.7448275862069,0.874706557575814,290,-16.75,6.78400525299968,12
"87",1966,4.2316384180791,2.13496830404023,354,-7.41666666666667,11.5479894616362,12
"88",1967,9.28767123287671,3.49520649791165,365,-1.91666666666667,10.7910597114913,12
"89",1968,8.09562841530055,2.79904729656287,366,-9.66666666666667,15.6747239113475,12
"90",1969,8.03287671232877,2.59945338688397,365,0.75,15.6037582885429,12
"91",1970,9.25753424657534,2.40979672939094,365,6.75,10.7544916620494,12
"92",1971,6.10684931506849,2.33748295916238,365,-8.16666666666667,8.17794521128553,12
"93",1972,6.2,2.55187929026588,365,-3,15.6959751644693,12
"94",1973,3.53823529411765,1.93134594819571,340,21.9166666666667,12.6236310388913,12
"95",1974,3.2046783625731,1.91128191970674,342,-3.66666666666667,9.1585363393278,12
"96",1975,1.79847908745247,0.820350399056862,263,2.16666666666667,14.9473824606264,12
"97",1976,1.64478764478764,0.780877223176739,259,-17.4166666666667,10.578351249203,12
"98",1977,2.62322946175637,1.48562192212325,353,21.3333333333333,13.4322091416208,12
"99",1978,11.0547945205479,3.37447761915347,365,13.75,11.6394704659307,12
"100",1979,14.9013698630137,3.64964596923285,365,20.25,15.7833341333077,12
"101",1980,8.85044642857143,4.46035981100809,448,34.3333333333333,9.90255553181127,12
"102",1981,9.42307692307692,4.60840992924851,416,43.75,16.3713996735993,12
"103",1982,10.2794520547945,3.21974330524632,365,13.1666666666667,12.3349712262135,12
"104",1983,6.83565459610028,2.76313704258712,359,38.6666666666667,12.3827837473378,12
