"","LOTI","datetime"
"247",-34,1900-07-01
"248",-17,1900-08-01
"249",-7,1900-09-01
"250",16,1900-10-01
"251",-11,1900-11-01
"252",-6,1900-12-01
"253",-23,1901-01-01
"254",-11,1901-02-01
"255",-12,1901-03-01
"256",-9,1901-04-01
"257",-23,1901-05-01
"258",1,1901-06-01
"259",-24,1901-07-01
"260",-20,1901-08-01
"261",3,1901-09-01
"262",-18,1901-10-01
"263",-14,1901-11-01
"264",-21,1901-12-01
"265",-32,1902-01-01
"266",-4,1902-02-01
"267",-19,1902-03-01
"268",-20,1902-04-01
"269",-32,1902-05-01
"270",-39,1902-06-01
"271",-47,1902-07-01
"272",-52,1902-08-01
"273",-41,1902-09-01
"274",-47,1902-10-01
"275",-50,1902-11-01
"276",-56,1902-12-01
"277",-36,1903-01-01
"278",-15,1903-02-01
"279",-19,1903-03-01
"280",-57,1903-04-01
"281",-47,1903-05-01
"282",-65,1903-06-01
"283",-32,1903-07-01
"284",-44,1903-08-01
"285",-43,1903-09-01
"286",-50,1903-10-01
"287",-49,1903-11-01
"288",-63,1903-12-01
"289",-80,1904-01-01
"290",-76,1904-02-01
"291",-57,1904-03-01
"292",-46,1904-04-01
"293",-66,1904-05-01
"294",-49,1904-06-01
"295",-62,1904-07-01
"296",-51,1904-08-01
"297",-45,1904-09-01
"298",-53,1904-10-01
"299",-26,1904-11-01
"300",-40,1904-12-01
"301",-43,1905-01-01
"302",-100,1905-02-01
"303",-25,1905-03-01
"304",-32,1905-04-01
"305",-37,1905-05-01
"306",-33,1905-06-01
"307",-44,1905-07-01
"308",-31,1905-08-01
"309",-25,1905-09-01
"310",-38,1905-10-01
"311",-9,1905-11-01
"312",-27,1905-12-01
"313",-19,1906-01-01
"314",-38,1906-02-01
"315",-37,1906-03-01
"316",4,1906-04-01
"317",-21,1906-05-01
"318",-23,1906-06-01
"319",-22,1906-07-01
"320",-19,1906-08-01
"321",-30,1906-09-01
"322",-19,1906-10-01
"323",-55,1906-11-01
"324",-27,1906-12-01
"325",-51,1907-01-01
"326",-69,1907-02-01
"327",-47,1907-03-01
"328",-63,1907-04-01
"329",-61,1907-05-01
"330",-67,1907-06-01
"331",-42,1907-07-01
"332",-57,1907-08-01
"333",-40,1907-09-01
"334",-34,1907-10-01
"335",-61,1907-11-01
"336",-66,1907-12-01
"337",-38,1908-01-01
"338",-33,1908-02-01
"339",-54,1908-03-01
"340",-47,1908-04-01
"341",-34,1908-05-01
"342",-44,1908-06-01
"343",-40,1908-07-01
"344",-42,1908-08-01
"345",-18,1908-09-01
"346",-43,1908-10-01
"347",-61,1908-11-01
"348",-42,1908-12-01
"349",-79,1909-01-01
"350",-60,1909-02-01
"351",-51,1909-03-01
"352",-62,1909-04-01
"353",-59,1909-05-01
"354",-42,1909-06-01
"355",-35,1909-07-01
"356",-11,1909-08-01
"357",-21,1909-09-01
"358",-19,1909-10-01
"359",-18,1909-11-01
"360",-54,1909-12-01
"361",-48,1910-01-01
"362",-40,1910-02-01
"363",-47,1910-03-01
"364",-33,1910-04-01
"365",-28,1910-05-01
"366",-35,1910-06-01
"367",-22,1910-07-01
"368",-14,1910-08-01
"369",-10,1910-09-01
"370",-30,1910-10-01
"371",-53,1910-11-01
"372",-67,1910-12-01
"373",-66,1911-01-01
"374",-67,1911-02-01
"375",-61,1911-03-01
"376",-52,1911-04-01
"377",-39,1911-05-01
"378",-38,1911-06-01
"379",-18,1911-07-01
"380",-26,1911-08-01
"381",-26,1911-09-01
"382",-17,1911-10-01
"383",-14,1911-11-01
"384",-26,1911-12-01
"385",-21,1912-01-01
"386",-14,1912-02-01
"387",-43,1912-03-01
"388",-30,1912-04-01
"389",-21,1912-05-01
"390",-26,1912-06-01
"391",-49,1912-07-01
"392",-62,1912-08-01
"393",-35,1912-09-01
"394",-47,1912-10-01
"395",-45,1912-11-01
"396",-32,1912-12-01
"397",-43,1913-01-01
"398",-49,1913-02-01
"399",-59,1913-03-01
"400",-32,1913-04-01
"401",-63,1913-05-01
"402",-60,1913-06-01
"403",-23,1913-07-01
"404",-20,1913-08-01
"405",-19,1913-09-01
"406",-29,1913-10-01
"407",-16,1913-11-01
"408",4,1913-12-01
"409",15,1914-01-01
"410",-4,1914-02-01
"411",-5,1914-03-01
"412",-19,1914-04-01
"413",-3,1914-05-01
"414",-7,1914-06-01
"415",-21,1914-07-01
"416",-8,1914-08-01
"417",-8,1914-09-01
"418",14,1914-10-01
"419",-32,1914-11-01
"420",-21,1914-12-01
"421",-18,1915-01-01
"422",4,1915-02-01
"423",-9,1915-03-01
"424",-3,1915-04-01
"425",-21,1915-05-01
"426",-19,1915-06-01
"427",6,1915-07-01
"428",-18,1915-08-01
"429",3,1915-09-01
"430",-8,1915-10-01
"431",6,1915-11-01
"432",-10,1915-12-01
"433",-10,1916-01-01
"434",-12,1916-02-01
"435",-43,1916-03-01
"436",-29,1916-04-01
"437",-35,1916-05-01
"438",-47,1916-06-01
"439",-34,1916-07-01
"440",-11,1916-08-01
"441",-15,1916-09-01
"442",-15,1916-10-01
"443",-39,1916-11-01
"444",-78,1916-12-01
"445",-52,1917-01-01
"446",-73,1917-02-01
"447",-81,1917-03-01
"448",-54,1917-04-01
"449",-80,1917-05-01
"450",-45,1917-06-01
"451",2,1917-07-01
"452",-38,1917-08-01
"453",-31,1917-09-01
"454",-47,1917-10-01
"455",-34,1917-11-01
"456",-91,1917-12-01
"457",-63,1918-01-01
"458",-61,1918-02-01
"459",-51,1918-03-01
"460",-55,1918-04-01
"461",-76,1918-05-01
"462",-42,1918-06-01
"463",-47,1918-07-01
"464",-47,1918-08-01
"465",-19,1918-09-01
"466",3,1918-10-01
"467",-26,1918-11-01
"468",-33,1918-12-01
"469",-28,1919-01-01
"470",-27,1919-02-01
"471",-14,1919-03-01
"472",-15,1919-04-01
"473",-17,1919-05-01
"474",-17,1919-06-01
"475",-7,1919-07-01
"476",-8,1919-08-01
"477",-21,1919-09-01
"478",-5,1919-10-01
"479",-42,1919-11-01
"480",-29,1919-12-01
"481",-12,1920-01-01
"482",-32,1920-02-01
"483",-25,1920-03-01
"484",-21,1920-04-01
"485",-37,1920-05-01
"486",-37,1920-06-01
"487",-20,1920-07-01
"488",-18,1920-08-01
"489",-19,1920-09-01
"490",-43,1920-10-01
"491",-33,1920-11-01
"492",-47,1920-12-01
"493",-3,1921-01-01
"494",-20,1921-02-01
"495",-12,1921-03-01
"496",-20,1921-04-01
"497",-21,1921-05-01
"498",-11,1921-06-01
"499",2,1921-07-01
"500",-45,1921-08-01
"501",-16,1921-09-01
"502",-12,1921-10-01
"503",-30,1921-11-01
"504",-18,1921-12-01
"505",-41,1922-01-01
"506",-45,1922-02-01
"507",-32,1922-03-01
"508",-12,1922-04-01
"509",-42,1922-05-01
"510",-32,1922-06-01
"511",-7,1922-07-01
"512",-27,1922-08-01
"513",-17,1922-09-01
"514",-27,1922-10-01
"515",-12,1922-11-01
"516",-17,1922-12-01
"517",-29,1923-01-01
"518",-24,1923-02-01
"519",-23,1923-03-01
"520",-52,1923-04-01
"521",-34,1923-05-01
"522",-32,1923-06-01
"523",-51,1923-07-01
"524",-38,1923-08-01
"525",-31,1923-09-01
"526",-12,1923-10-01
"527",-3,1923-11-01
"528",-6,1923-12-01
"529",-26,1924-01-01
"530",-42,1924-02-01
"531",-15,1924-03-01
"532",-51,1924-04-01
"533",-29,1924-05-01
"534",-17,1924-06-01
"535",-17,1924-07-01
"536",-17,1924-08-01
"537",-10,1924-09-01
"538",-16,1924-10-01
"539",-8,1924-11-01
"540",-30,1924-12-01
"541",-45,1925-01-01
"542",-39,1925-02-01
"543",-30,1925-03-01
"544",-18,1925-04-01
"545",-37,1925-05-01
"546",-43,1925-06-01
"547",-41,1925-07-01
"548",-11,1925-08-01
"549",-30,1925-09-01
"550",-34,1925-10-01
"551",-3,1925-11-01
"552",18,1925-12-01
"553",24,1926-01-01
"554",29,1926-02-01
"555",20,1926-03-01
"556",-12,1926-04-01
"557",-38,1926-05-01
"558",-23,1926-06-01
"559",-17,1926-07-01
"560",1,1926-08-01
"561",1,1926-09-01
"562",-14,1926-10-01
"563",1,1926-11-01
"564",-27,1926-12-01
"565",-19,1927-01-01
"566",-17,1927-02-01
"567",-37,1927-03-01
"568",-37,1927-04-01
"569",-31,1927-05-01
"570",-28,1927-06-01
"571",-9,1927-07-01
"572",-29,1927-08-01
"573",-12,1927-09-01
"574",15,1927-10-01
